"Total Asset","Cash","Total Debt in Current Liabilities","Total Long-Term Debt","Earnings Before Interest","Gross Profit (Loss)","Total Liabilities","Retained Earnings","Total debt/total asset","Total asset/Total libiilities","EBTI/total asset","Gross Profit/Revenue","EBTI/REV","Sales/Turnover (Net)","Total Stockholders Equity","Total Interest and Related Expense","Market Value - Total - Fiscal","Total Inventories","Total Revenue","Operating Activities - Net Cash Flow","Financing Activities - Net Cash Flow","Net Cash Flow","Rating level","Debt-to-Equity Ratio","Total Current Asset","Working Capital Ratio","Debt Service Coverage Ratio","Gross Profit Margin"
3057.5,120,0,604.3,331.9,518.8,1553.2,1066.4,0.197645135,1.968516611,0.108552739,0.238748274,0.15273815,2173,1504.3,32.1,3360.9153,699.2,2173,239.6,-29.1,210.5,"Moderate Risk",-0.4017150834275078,819.1999999999998,1.355618070494787,0.5492305146450439,23.874827427519556
84681,7341,11501,27784,10745,18577,67855,27456,0.328101935,1.247969936,0.126887968,0.336637431,0.194712235,55184,16826,1108,55482.4655,12205,55184,8057,-2996,5061,"Low Risk",-0.2842030191370498,19546,1.2003930479641343,0.2735140638920708,33.66374311394607
50147,128,550,20121,7056,10235,35124,-1870,0.401240353,1.427713245,0.140706323,0.56763352,0.39132605,18031,15023,1358,22501.9029,132,18031,5188,-2151,3037,"Moderate Risk",-1.2661252745789788,260,0.01328496244443309,0.3413477819166949,56.76335200488049
2094.157,255.303,15.779,255.742,222.148,222.148,954.642,1179.754,0.122121694,2.193656889,0.106079917,0.059080061,0.059080061,3760.118,1133.558,4.255,1616.9081,39.375,3760.118,211.044,96.201,307.245,"Moderate Risk",-0.19777020672960713,294.6779999999999,1.2280143188741592,0.8181613945146047,5.908006078532642
266026,12785,3790,24028,36519,42998,109835,180128,0.090321999,2.422051259,0.137276056,0.223589242,0.189898496,192308,156191,358,210859.0248,6505,192308,31475,-4999,26476,"Low Risk",-0.10530696390957225,19290,0.9531574266231841,1.3127830900855562,22.35892422572124
1490.604,57.685,27.884,832.302,419.555,559.564,1427.51,2305.592,0.558365602,1.04419864,0.281466439,0.192591032,0.144402661,2905.452,63.094,28.091,3140.7954,23.643,2905.452,359.842,-201.346,158.496,"Moderate Risk",-12.307572827844169,81.32799999999997,0.10110166604924302,0.48774916122792045,19.259103230753766
4381.3,423,402.4,798.8,735,1541.7,2279.4,2380.2,0.182320316,1.92212863,0.167758428,0.467521834,0.222889374,3297.6,2101.9,28.1,10509.4711,245.9,3297.6,540.3,-306.6,233.7,"Moderate Risk",0.002854560159855369,668.9000000000001,1.6874369323915241,0.611888111888112,46.75218340611354
2360.274,67.936,11.794,759.105,175.243,253.957,1660.273,437.721,0.321617321,1.421618011,0.074246888,0.310675847,0.214381834,817.434,700.001,20.842,1665.0816,0,817.434,141.619,322.049,463.668,"Moderate Risk",-1.0507370703756138,67.93600000000015,0.09090726618502892,0.22732290481632483,31.067584661269287
1819.7,57.9,13.2,1771,361.7,582.8,2468.2,-3361.8,0.973237347,0.737257921,0.198769028,0.455953685,0.28297606,1278.2,-648.5,149.5,667.6542,25,1278.2,175.2,-514.5,-339.3,"High Risk",2.690208172706245,82.90000000000009,0.047161224257594773,0.20272390987557448,45.595368486934746
14040.242,457.024,3.604,20322.414,1823.729,3782.168,23705.45,-11990.98,1.447440436,0.592279075,0.129892989,0.600007647,0.289318546,6303.533,-9665.208,1741.596,651.2321,23.777,6303.533,245.116,-398.001,-152.885,"High Risk",2.1018902024664134,480.8009999999995,0.023662852302866133,0.08972387016483012,60.000764650553904
3164,290.9,96.3,3055.1,-8218.5,-8001,4898.3,-4206.5,0.965581542,0.645938387,-2.597503161,-1.730432338,-1.777472587,4623.7,-1734.3,216.6,1094.1836,521.9,4623.7,358.9,-288.3,70.6,"Moderate Risk",1.6505218243671795,812.8000000000002,0.2747059618764365,-2.6078885574665227,-173.04323377381752
4258,329,718,1595,1135,2529,4104,1322,0.374589009,1.037524366,0.266557069,0.452334108,0.203004829,5591,154,103,11771.9544,386,5591,767,-592,175,"Moderate Risk",-1.0324675324675325,715,0.8152793614595211,0.49070471249459574,45.23341083884815
1433.076,9.095,6.446,497.363,147.097,765.636,1176.133,121.043,0.347059751,1.218464238,0.102644242,0.438415936,0.084230194,1746.369,256.943,29.272,628.7103,70.74,1746.369,91.903,29.682,121.585,"Moderate Risk",-1.8855193564331387,79.83500000000004,0.16262423179478414,0.2919697742596897,43.84159361509509
92023,8958,22682,19063,12463,30013,61462,57631,0.207154733,1.497234063,0.135433533,0.652484891,0.270946563,45998,30561,483,184332.52,3100,45998,10615,-3631,6984,"Low Risk",0.8606066555413763,12058,-3.3318596297319703,0.2985507246376812,65.24848906474195
1546.231,270.861,17.498,460.899,-1398.72,-1314.924,960.913,-2205.411,0.298079006,1.609126945,-0.904599636,-2.068329605,-2.200137792,635.742,585.318,46.221,528.2922,163.135,635.742,52.927,92.978,145.905,"High Risk",-0.7276437765453994,433.99599999999987,0.9787889517614977,-2.9237641540394277,-206.83296054059664
13459,1089,504,5644,4628,10548,12074,15325,0.419347648,1.114709293,0.343859128,0.61052266,0.267870579,17277,1385,134,62735.4033,1382,17277,3298,-2170,1128,"Low Risk",-3.3472924187725632,2471,0.48073929961089495,0.752765126870527,61.05226601840597
159339,3910,4217,44017,23160,23160,105205,21393,0.276247497,1.514557293,0.145350479,0.336750273,0.336750273,68775,53068,2617,147229.0808,0,68775,16945,-6020,10925,"Low Risk",-0.670517072435366,3910,0.09824120603015075,0.48015922378405274,33.67502726281352
3688.52,434.925,145.346,1281.042,365.729,831.663,2339.929,1206.346,0.347305152,1.576338427,0.099153319,0.118134637,0.051950445,7039.959,1348.591,77.741,2036.0851,935.411,7039.959,136.94,-34.397,102.543,"Moderate Risk",-0.7343590458485931,1370.3359999999998,1.2066045843253828,0.2564021850997064,11.81346368636522
16969,624,28,11508,2991,4071,16304,-2137,0.678177854,1.040787537,0.176262596,0.479787861,0.35250442,8485,665,492,7011.479,0,8485,2579,182,2761,"Moderate Risk",-17.221052631578946,624,0.05435540069686411,0.2592753120665742,47.97878609310548
671.189,2.475,4.448,176.601,42.008,42.008,460.966,67.767,0.263116648,1.456048819,0.062587438,0.442874764,0.442874764,94.853,210.223,6.515,403.7263,1.486,94.853,30.205,-6.455,23.75,"Low Risk",-0.7977481055831187,3.9610000000000127,0.023008602812614437,0.23202558423410238,44.28747641086735
19185,207,600,8139,1846,1846,15478,-1107,0.424237686,1.239501228,0.096221006,0.257138877,0.257138877,7179,3707,410,9562.644,918,7179,1447,498,1945,"Moderate Risk",-1.8718640410035068,1125,0.14922403501790688,0.2112369836365717,25.713887728095834
15145.07,24.381,2.078,5995.837,3518.491,3753.213,10177.226,3676.183,0.395893647,1.488133407,0.23231923,0.781655892,0.732771953,4801.618,4967.844,283.928,14270.1502,102.179,4801.618,3355.715,1227.715,4583.43,"Moderate Risk",-1.206092824170807,126.55999999999949,0.021115296761181002,0.5866190167749958,78.16558918264634
2489.931,551.652,66.666,298.931,439.624,711.924,1605.67,1336.524,0.120055937,1.550711541,0.176560716,0.207872614,0.128364531,3424.809,884.261,30.016,2014.9322,421.851,3424.809,319.084,-194.755,124.329,"Moderate Risk",-0.187273893115268,973.5030000000002,4.19134609174865,1.2024825149002865,20.787261421001872
4458.34,25.222,101.518,1280.833,506.384,1207.685,1869.9,1472.641,0.287289215,2.384266538,0.113581288,0.703051504,0.294790473,1717.776,2588.44,13.565,7890.6377,381.474,1717.776,454.823,842.165,1296.988,"Moderate Risk",-0.4163886356260914,406.6959999999999,0.34485782000568116,0.3663208548335408,70.30515038049198
13996.3,624.6,849.4,2337.1,783.2,1918.7,6110.2,3541.5,0.166979845,2.290645151,0.055957646,0.462749922,0.188891301,4146.3,7886.1,146.4,13893.283,202.2,4146.3,1272.6,-802,470.6,"Moderate Risk",-0.08093988156376407,826.7999999999993,0.5557572091147405,0.24578691354150323,46.27499216168632
30063,5309,36,3227,3036,5219,8411,11714,0.10734125,3.574248009,0.100987925,0.537210499,0.312506433,9715,21652,163,29212.82,1322,9715,4709,-2586,2123,"Low Risk",-0.14571402179937187,6631,2.078031964901285,0.9304321176831137,53.72104992279979
3450.785,346.266,100.806,749.213,499.224,1103.339,2380.184,1223.239,0.217113787,1.449797579,0.144669691,0.377210301,0.170675047,2924.997,1070.601,39.222,3411.7614,369.719,2924.997,263.951,-132.997,130.954,"Moderate Risk",-0.5114893410336809,715.9850000000001,1.1042215768799537,0.5873092248526209,37.721030141227494
11057.864,878.826,4.891,8384.91,1025.684,1025.684,9220.902,1494.552,0.758275739,1.19921717,0.092756069,0.472885537,0.472885537,2168.99,1836.962,734.022,4153.5096,204.967,2168.99,400.295,-1772.21,-1371.915,"High Risk",-4.559227681356501,1083.7929999999997,0.12933061368953933,0.12225367443161048,47.2885536586153
2667,392,18,556,237,511,1613,-2659,0.208473941,1.653440794,0.088863892,0.233333333,0.108219178,2190,1054,45,1773.141,329,2190,-78,-935,-1013,"Moderate Risk",-0.49335863377609107,721,1.3401486988847584,0.41289198606271776,23.333333333333332
9708,965,252,5007,1174,1572,9321,-983,0.515760198,1.04151915,0.120931191,0.172804221,0.129053534,9097,387,253,7075.1,1324,9097,912,445,1357,"Moderate Risk",-11.635658914728682,2289,0.48138801261829656,0.22323635672181022,17.280422117181487
15776,2301,109,1589,2505,5344,7683,8467,0.100722617,2.053364571,0.158785497,0.277538302,0.130096079,19255,8093,83,26109.187,2866,19255,2266,-1343,923,"Low Risk",-0.1694056592116644,5167,3.491216216216216,1.4752650176678446,27.753830173980788
4145.842,267.276,53.777,1394.366,386.025,660.267,2428.266,-477.211,0.336328784,1.707326133,0.093111363,0.320352653,0.187294129,2061.063,1717.576,52.192,3303.2643,8.807,2061.063,254.776,-374.562,-119.786,"High Risk",-0.7492023642621927,276.0830000000001,0.20594156747519193,0.26656552564214997,32.03526529756732
4930,1121,65,1613,705,1116,3750,-1529,0.327180527,1.314666667,0.143002028,0.168656491,0.106543751,6617,1180,118,3610.3618,654,6617,510,-254,256,"Moderate Risk",-1.256779661016949,1775,1.146640826873385,0.4201430274135876,16.86564908568838
36991.7,3005.6,71.9,3401.5,4540.9,11426.9,13541.9,18889.3,0.09195306,2.731647701,0.122754564,0.573818156,0.2280278,19913.8,23449.8,122.7,60365.553,1831.5,19913.8,3758.4,-218.2,3540.2,"Low Risk",-0.13892229358032904,4837.0999999999985,1.4527570879384908,1.3073357517130189,57.38181562534523
