Total Asset,Cash,Total Debt in Current Liabilities,Total Long-Term Debt,Earnings Before Interest,Gross Profit (Loss),Total Liabilities,Retained Earnings,Total debt/total asset,Total asset/Total libiilities,EBTI/total asset,Gross Profit/Revenue,EBTI/REV,Sales/Turnover (Net),Total Stockholders Equity,Total Interest and Related Expense,Market Value - Total - Fiscal,Total Inventories,Operating Activities - Net Cash Flow,Financing Activities - Net Cash Flow,Net Cash Flow,Debt-to-Equity Ratio,Total Current Asset,Working Capital Ratio,Debt Service Coverage Ratio,Gross Profit Margin,Prediction (Rating level),Probability_Class_0,Probability_Class_1
3208.452,231.292,108.922,765.114,362.612,905.561,1861.037,1241.073,0.238468271,1.72401301,0.113017742,0.341929516,0.13691816,2648.385,1347.415,12.513,2835.4618,517.056,287.102,-118.405,168.697,0.0808377522886415,748.348,1.1404406027504144,0.4148707833544613,34.19295155349392,2,1.2584835e-05,8.432234e-06
10423.0,3954.0,4.0,3396.0,1144.0,3009.0,7657.0,1555.0,0.325817903,1.361238083,0.109757268,0.511647679,0.194524741,5881.0,2766.0,147.0,14744.184,762.0,-590.0,-1808.0,-2398.0,0.0014461315979754,4716.0,1.3903301886792452,0.3364705882352941,51.16476789661623,2,0.0007199176,0.00052857335
18141.0,193.0,112.0,11695.0,1952.0,1952.0,16955.0,-1592.0,0.644672289,1.069949867,0.107601566,0.117484201,0.117484201,16615.0,785.0,779.0,4985.0159,276.0,687.0,715.0,1402.0,0.1426751592356687,469.0,0.0404903738237071,0.1653256542728889,11.748420102317183,0,0.99364495,3.070145e-06
4973.943,20.362,269.57,1690.261,301.794,301.794,3496.16,255.992,0.339823154,1.422687463,0.060675002,0.25047993,0.25047993,1204.863,1477.783,77.802,2654.4507,55.094,250.039,960.715,1210.754,0.1824151448487362,75.45600000000013,0.0531121827336135,0.1539898083048997,25.047993008333723,2,0.00865185,0.004838741
15615.927,1024.144,226.011,4381.6,2106.251,2630.949,7540.809,7232.506,0.280585328,2.07085566,0.134878384,0.124659153,0.099798007,21105.141,8075.118,177.088,15648.5687,2745.032,1342.898,-359.047,983.851,0.027988569331123,3769.176,0.9070136628044784,0.4571243101902482,12.465915295235412,1,1.9644936e-05,0.96907556
52166.0,85.0,2603.0,19176.0,2495.0,2495.0,39744.0,2531.0,0.367595752,1.312550322,0.047828087,0.165791747,0.165791747,15049.0,12422.0,1073.0,16418.806,817.0,2713.0,513.0,3226.0,0.2095475768797295,902.0,0.054425873408556,0.1145598971486294,16.57917469599309,2,2.4546263e-05,0.004268018
1791.279,0.0,11.055,498.489,160.405,160.405,1218.513,108.24,0.278286632,1.470053253,0.089547748,0.200691388,0.200691388,799.262,572.766,30.337,1152.2693,85.203,111.625,50.864,162.489,0.0193010758320151,85.20299999999997,0.1747990497175001,0.3148010770414331,20.06913878052504,2,0.010721672,0.0054773586
60127.0,151.0,633.0,15050.0,5232.0,5232.0,44127.0,5327.0,0.250303524,1.362589798,0.087015817,0.306143944,0.306143944,17090.0,16000.0,779.0,25337.6081,476.0,3677.0,892.0,4569.0,0.0395625,627.0,0.0434903239231462,0.3336096410125613,30.614394382679933,2,1.3001405e-05,0.00399215
1520.659,108.456,10.0,605.0,261.537,299.303,854.445,-24.663,0.397853825,1.779703784,0.171989249,0.308978986,0.269992072,968.684,666.214,45.465,374.6812,47.943,202.467,-69.125,133.342,0.0150101919203138,156.3989999999999,0.2628554621848737,0.4252634146341463,30.897898592317,0,0.99731123,5.396616e-05
13274.362,1613.555,816.622,1508.142,1829.948,3425.066,6611.554,8350.691,0.113613144,2.007752187,0.137855816,0.259161132,0.138464892,13215.971,6662.808,82.566,18721.5742,1371.681,1387.893,-958.115,429.778,0.1225642401822174,2985.235999999999,4.316919250347059,0.787154308996526,25.91611316338391,1,2.6524108e-07,0.9989183
3773.315,135.583,81.292,784.067,295.406,559.158,2407.81,290.893,0.207792617,1.56711493,0.07828819,0.124470067,0.065758166,4492.309,1365.505,45.952,1171.511,726.402,-56.678,99.295,42.617,0.0595325538903189,861.9850000000001,1.2265447689516562,0.3413681489416531,12.447006650700118,2,0.001880476,1.1198752e-05
1376.08,6.27,0.0,543.0,166.792,209.963,779.012,293.986,0.394599151,1.766442622,0.121208069,0.251070826,0.199447547,836.27,597.068,29.51,574.9584,73.793,119.519,130.867,250.386,0.0,80.0630000000001,0.1474456721915287,0.3071675874769797,25.107082640773918,2,0.0051882197,0.0002496478
8951.4,983.5,60.0,1998.1,-7.2,277.2,4059.6,-9983.7,0.22321648,2.204995566,-0.000804343,0.079969997,-0.002077143,3466.3,4891.8,114.7,3227.7043,1276.7,849.3,-94.2,755.1,0.0122654237703912,2260.2,1.1661936948557865,-0.0034983722851173,7.996999682658743,2,0.007132757,0.00024745672
66904.0,3130.0,2765.0,10565.0,13229.0,14921.0,28855.0,37127.0,0.15791283,2.318627621,0.197731077,0.307142857,0.272313709,48580.0,38049.0,369.0,108924.3979,4628.0,11219.0,-5896.0,5323.0,0.0726694525480301,7758.0,0.9946153846153846,0.992423105776444,30.714285714285715,1,6.5686213e-06,0.99603385
50186.0,132.0,1802.0,10437.0,4349.0,4349.0,37198.0,8515.0,0.207966365,1.349158557,0.086657634,0.32423768,0.32423768,13413.0,12982.0,585.0,21334.1043,281.0,3248.0,645.0,3893.0,0.1388075797257741,413.0,0.0478286045165026,0.3553394885203039,32.423767986281966,2,1.2649054e-05,0.0034144097
15849.1,496.6,7.5,3839.8,1803.6,4367.9,9337.2,2656.1,0.242272432,1.697414643,0.11379826,0.385223925,0.159067257,11338.6,6511.9,177.2,15096.57,1562.7,1295.9,-766.2,529.7,0.0011517375881079,2059.300000000001,0.5373535474780161,0.4687962987029864,38.52239253523362,1,1.1005867e-05,0.97302926
